repo,overall_score,level,verify_avg,verify_gate,languages,AI Context Files,Bug Report Template Quality,Structured Logging / Errors,Code Navigability,Generated Code Ratio,Code Ownership (CODEOWNERS),Test-to-Source Ratio,One-Command Test Execution,Coverage Configuration,CI Runs Tests on PRs,PR Template,Linting / Formatting in CI,Contributing / Dev Guide,Test Isolation (unit vs e2e)
data-science-pipelines-operator,80,Ready,86.0,,Go;Python,0,100,100,90,100,60,85,90,70,100,85,80,0,85
kube-auth-proxy,78,Partially Ready,74.0,,Go;JavaScript,0,100,90,90,100,100,100,80,70,30,85,80,50,90
odh-dashboard,75,Partially Ready,78.0,,TypeScript;JavaScript;Go,0,100,20,90,100,60,50,90,60,100,100,80,90,90
kuberay,74,Partially Ready,65.0,,Go;Python;TypeScript,0,95,90,70,60,60,85,90,0,100,100,80,70,50
agentready-audit,72,Partially Ready,74.0,,Python,100,75,90,70,100,0,50,70,60,100,85,80,40,90
opendatahub-operator,72,Partially Ready,76.0,,Go;Python;JavaScript,0,45,90,70,100,60,70,90,70,100,100,80,80,50
odh-model-controller,64,Partially Ready,80.0,,Go,0,0,100,70,100,60,70,70,70,100,85,80,40,90
odh-platform-chaos,60,Partially Ready,69.0,,Go,0,0,100,90,100,0,85,70,0,100,0,80,40,90
trustyai-service-operator,55,Needs Work,68.0,,Go,0,0,100,70,100,0,50,80,70,70,0,80,70,70
operator-security-runtime,41,Needs Work,48.0,mild (x0.98) - verify avg 48/100,Go,0,0,100,70,100,0,70,80,0,0,0,0,0,90
ai-code-analyst,39,Not Ready,52.0,,Python;TypeScript,0,0,20,50,100,0,10,60,0,100,0,80,40,90
opendatahub-community,8,Not Ready,0.0,severe (x0.40) - verify avg 0/100,Unknown,0,100,0,0,100,0,0,0,0,0,0,0,80,0
ai-bug-automation-readiness,4,Not Ready,0.0,severe (x0.40) - verify avg 0/100,Python,0,0,0,70,100,0,0,0,0,0,0,0,0,0
architecture-decision-records,3,Not Ready,0.0,severe (x0.40) - verify avg 0/100,Unknown,0,0,0,0,100,100,0,0,0,0,0,0,0,0

